Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Axel Kennedy,358543737,44,44,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Siegeking,232115115,7,7,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Siegeking,232115115,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Fiberhead,813548382,27,27,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Fiberhead,813548382,55,15,40,Jedi Master Luke Skywalker: Old Ben R3 JTR C-3PO R3 Mon Mothma G9 Chewpio R1 JKL R3 R2-D2 G12 Han R2 Chewbacca R3 Rebel Y-wing Leia HYoda R3 Wedge Biggs Lando R3
Fiberhead,813548382,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Fiberhead,813548382,58,58,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
AgentOfChaos,718699874,35,35,0,Rey: JTR R2-D2 C-3PO 0* BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
AgentOfChaos,718699874,4,4,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Anlair D3TH,517761455,41,27,14,Rey: JTR R1 R2-D2 C-3PO BB-8 G12 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Anlair D3TH,517761455,12,12,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
SkyGuy501,961395828,53,53,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing 6* Leia HYoda Wedge Biggs Lando
SkyGuy501,961395828,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Left 4 Gaming Addiction,612524345,49,49,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Left 4 Gaming Addiction,612524345,57,57,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Left 4 Gaming Addiction,612524345,12,12,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
Left 4 Gaming Addiction,612524345,53,53,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Left 4 Gaming Addiction,612524345,59,0,59,Jedi Master Kenobi: GK Bo-Katan G1 Aayla G12 Mace Negotiator GG Wat Tambor G10 MagnaGuard Clone Sergeant G12 QGJ G12 GMY R6 Jango G12 Shaak Ti R5 Cad Cody G12
Sieana Rayley,547229965,44,44,0,Leia Organa: Captain Rex Princess Kneesaa Wicket Lando Ackbar Scout Trooper R2-D2 Cpt Solo ROLO Chirpa Captain Drogan CLS Boushh (Leia Organa) Chewpio Lobot
Sieana Rayley,547229965,40,40,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Sieana Rayley,547229965,55,55,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Sieana Rayley,547229965,6,6,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Valarkale,265279199,16,0,16,Rey: JTR R1 R2-D2 C-3PO BB-8 G12 RT Scav Rey R5 Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Valarkale,265279199,3,3,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 0*
Valarkale,265279199,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Jbob1011,193859291,57,15,42,Leia Organa: Captain Rex Princess Kneesaa R3 Wicket Lando Ackbar Scout Trooper G9 R2-D2 R7 Cpt Solo ROLO Chirpa Captain Drogan G10 CLS Boushh (Leia Organa) G8 Chewpio Lobot G10
Jbob1011,193859291,20,20,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Jbob1011,193859291,58,58,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Jbob1011,193859291,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
BBBcube314,668135442,52,0,52,Leia Organa: Captain Rex G11 5* Princess Kneesaa G10 Wicket Lando Ackbar Scout Trooper G10 5* R2-D2 Cpt Solo ROLO Chirpa Captain Drogan G9 4* CLS Boushh (Leia Organa) G11 Chewpio Lobot G11
BBBcube314,668135442,23,23,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
BBBcube314,668135442,58,58,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
BBBcube314,668135442,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
lukeyworld,579933454,27,27,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
lukeyworld,579933454,12,12,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
SithLordCryo,257389653,58,0,58,Lord Vader: Hunter G11 Tech G9 Wrecker G12 Tusken Raider G12 Padme R7 GAS Embo Echo (501st) R5 Echo G12 Dooku R6 Zam G12 BTL-B Y-wing 4* Tarkin R4 ARC Trooper R5 Nute R2
SithLordCryo,257389653,13,13,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
SithLordCryo,257389653,6,6,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing 6* Leia HYoda Wedge Biggs Lando
SithLordCryo,257389653,4,4,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
SithLordCryo,257389653,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
SithLordCryo,257389653,55,45,10,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor R3 MagnaGuard Clone Sergeant R3 QGJ GMY Jango R4 Shaak Ti R6 Cad Cody
