Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Aaron,871373285,4,0,4,Supreme Leader Kylo Ren: KRU R5 Kylo R5 FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Mr Magnum,869364294,55,37,18,Jedi Master Kenobi: GK Bo-Katan R1 Aayla Mace Negotiator GG Wat Tambor R1 MagnaGuard Clone Sergeant QGJ GMY R6 Jango Shaak Ti R1 Cad Cody
Rain,254836835,52,52,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Rain,254836835,30,30,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Ash Williams,872711542,9,9,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Ash Williams,872711542,58,43,15,Lord Vader: Hunter Tech Wrecker Tusken Raider G13 Padme GAS Embo Echo (501st) Echo Dooku Zam BTL-B Y-wing Tarkin G13 ARC Trooper R5 Nute
Smick,332612688,12,9,3,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP R4 Finalizer 5*
Smick,332612688,29,0,29,Rey: JTR G12 R2-D2 C-3PO BB-8 G1 RT Scav Rey R5 Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Mordecai,687647578,3,3,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 0*
Mordecai,687647578,35,35,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
DarthRocky,911194673,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
DarthRocky,911194673,57,22,35,Jedi Master Kenobi: GK R5 Bo-Katan R1 Aayla Mace Negotiator GG R6 Wat Tambor R3 MagnaGuard R3 Clone Sergeant R1 QGJ GMY R5 Jango R3 Shaak Ti R5 Cad R1 Cody R1
DarthRocky,911194673,0,0,0,Lord Vader: Hunter Tech Wrecker Tusken Raider Padme GAS Embo Echo (501st) Echo Dooku Zam BTL-B Y-wing Tarkin ARC Trooper Nute
DarthRocky,911194673,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Battlemaster,669996862,10,0,10,Supreme Leader Kylo Ren: KRU R5 Kylo R5 FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP R1 Finalizer 5*
Battlemaster,669996862,16,0,16,Rey: JTR G13 R2-D2 C-3PO BB-8 G13 RT Scav Rey R5 Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Cokesk8er27,198479762,26,9,17,Supreme Leader Kylo Ren: KRU Kylo R5 FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han G6 4* EP R2 Finalizer 0*
eMtaE2,818488989,2,0,2,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R5 R2-D2 Han Chewbacca Rebel Y-wing 6* Leia HYoda Wedge Biggs Lando
G3ntl3 Gunn3r,752376573,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
G3ntl3 Gunn3r,752376573,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
G3ntl3 Gunn3r,752376573,52,0,52,Jedi Master Luke Skywalker: Old Ben JTR G1 C-3PO R3 Mon Mothma Chewpio JKL G10 R2-D2 Han R5 Chewbacca R5 Rebel Y-wing Leia G7 HYoda R3 Wedge Biggs G8 Lando
G3ntl3 Gunn3r,752376573,6,6,0,Leia Organa: Captain Rex Princess Kneesaa Wicket Lando Ackbar Scout Trooper R2-D2 Cpt Solo ROLO Chirpa Captain Drogan CLS Boushh (Leia Organa) Chewpio Lobot
